호선명,지하철역,위도,경도
1호선,동대문역,37.57142,127.009745
1호선,동묘앞역,37.572627,127.016429
1호선,서울역,37.554648,126.972559
1호선,시청역,37.564718,126.977108
1호선,신설동역,37.575297,127.025087
1호선,제기동역,37.578103,127.034893
1호선,종각역,37.570161,126.982923
1호선,종로3가역,37.571607,126.991806
1호선,종로5가역,37.570926,127.001849
1호선,청량리역,37.580178,127.046835
2호선,강남역,37.497175,127.027926
2호선,강변역,37.535095,127.094681
2호선,건대입구역,37.540693,127.07023
2호선,교대역,37.493415,127.01408
2호선,구로디지털단지역,37.485266,126.901401
2호선,구의역,37.537077,127.085916
2호선,낙성대역,37.47693,126.963693
2호선,당산역,37.53438,126.902281
2호선,대림역,37.49297,126.895801
2호선,도림천역,37.514287,126.882768
2호선,동대문역사문화공원역,37.565138,127.007896
2호선,뚝섬역,37.547184,127.047367
2호선,문래역,37.517933,126.89476
2호선,방배역,37.481426,126.997596
2호선,봉천역,37.482362,126.941892
2호선,사당역,37.47653,126.981685
2호선,삼성역,37.508844,127.06316
2호선,상왕십리역,37.564354,127.029354
2호선,서울대입구역,37.481247,126.952739
2호선,서초역,37.491897,127.007917
2호선,선릉역,37.504503,127.049008
2호선,성수역,37.544581,127.055961
2호선,시청역,37.564718,126.977108
2호선,신답역,37.57004,127.046481
2호선,신당역,37.565972,127.01782
2호선,신대방역,37.487462,126.913149
2호선,신도림역,37.508725,126.891295
2호선,신림역,37.484201,126.929715
2호선,신설동역,37.575297,127.025087
2호선,신정네거리역,37.520074,126.852912
2호선,신촌역,37.555134,126.936893
2호선,아현역,37.557345,126.956141
2호선,양천구청역,37.512398,126.865819
2호선,역삼역,37.500622,127.036456
2호선,영등포구청역,37.52497,126.895951
2호선,왕십리역,37.561533,127.037732
2호선,용답역,37.561904,127.050899
2호선,용두역,37.574028,127.038091
2호선,을지로3가역,37.566295,126.99191
2호선,을지로4가역,37.566941,126.998079
2호선,을지로입구역,37.566014,126.982618
2호선,이대역,37.556733,126.946013
2호선,잠실역,37.51395,127.102234
2호선,잠실나루역,37.520733,127.10379
2호선,잠실새내역,37.511687,127.086162
2호선,종합운동장역,37.510997,127.073642
2호선,충정로역,37.559973,126.963672
2호선,한양대역,37.555273,127.043655
2호선,합정역,37.549463,126.913739
2호선,홍대입구역,37.557192,126.925381
3호선,가락시장역,37.492522,127.118234
3호선,경복궁역,37.575762,126.97353
